,lats,longs
0,34.4319232,74.123996
1,34.1595145,74.3587473
2,34.0836708,74.7972825
3,33.9348549,74.6400432
4,33.8716117,74.8945692
5,33.7311255,75.1487007
6,34.1530741,77.5781692
7,34.5538522,76.1348944
8,33.0469201,75.6208088
9,32.9159847,75.1416173
10,33.7670014,74.0924041
11,33.3716143,74.315191
12,32.7266016,74.8570259
13,32.3864799,75.5172688
14,33.7593643,74.8039205
15,34.5052269,74.6868815
16,33.3115906,75.7662195
17,33.2427243,75.2391588
18,34.2164955,74.7719431
19,33.6449908,75.018031
20,33.0804393,74.8364724
21,32.5530092,75.1107527
22,32.5533633,76.1258083
23,32.0998031,76.2691006
24,32.6192107,77.3783789
25,31.957851,77.1094597
26,31.5892006,76.9182097
27,31.6861745,76.5213092
28,31.468445,76.2707745
29,31.3406931,76.6874701
30,30.9044857,77.0967357
31,30.5628455,77.4701972
32,31.1048145,77.1734033
33,31.6509576,78.4751945
34,32.0419424,75.4053367
35,31.6339793,74.8722642
36,31.3714801,75.3936808
37,31.3260152,75.5761829
38,31.5143178,75.911483
39,31.0912954,76.0391909
40,30.9659168,76.5230234
41,30.6810924,76.4100267
42,30.900965,75.8572758
43,30.8164603,75.1717093
44,30.9331348,74.6224755
45,30.4766391,74.511172
46,30.593204,74.8273184
47,30.210994,74.9454745
48,29.9995069,75.3936808
49,30.2457963,75.8420716
50,30.3397809,76.3868797
51,30.7046486,76.7178726
52,31.4616728,74.9267229
53,30.3819446,75.5467979
54,30.4036478,74.0279621
55,32.2643375,75.6421121
56,30.7333148,76.7794179
57,30.7268307,78.4354042
58,30.2937439,79.560344
59,30.2844141,78.9811407
60,30.3011858,78.5660852
61,30.3164945,78.0321918
62,29.8687682,78.8382644
63,30.0815485,80.365865
64,29.8403606,79.769426
65,29.5892407,79.646666
66,29.3360974,80.0910275
67,29.3803039,79.4635658
68,28.9609653,79.5153773
69,29.9456906,78.1642478
70,30.6942091,76.860565
71,30.3781788,76.7766974
72,30.1290485,77.2673901
73,29.9695121,76.878282
74,29.7856734,76.3984537
75,29.6856929,76.9904825
76,29.3909464,76.9635023
77,28.9930823,77.0150735
78,29.3211153,76.3058328
79,29.5077159,75.4519516
80,29.5335931,75.0177029
81,29.1491875,75.7216527
82,28.7751693,75.9927652
83,28.8955152,76.606611
84,28.6079115,76.6571775
85,28.1124989,76.2247366
86,28.1927631,76.6239423
87,28.4594965,77.0266383
88,28.4089123,77.3177894
89,28.0106916,77.0564464
90,28.1487362,77.3320262
91,28.7186211,77.0685134
92,28.7886037,77.1411602
93,28.7183693,77.2580268
94,28.6279559,77.2956273
95,28.6139391,77.2090212
96,28.6643427,77.2166836
97,28.6663433,77.067959
98,28.5928929,77.0346164
99,28.4816551,77.1872857
100,29.9038399,73.8771901
101,29.5815012,74.3294199
102,28.0229348,73.3119159
103,28.3174965,74.9851678
104,28.1288747,75.3995089
105,27.5529907,76.6345735
106,27.216981,77.489515
107,26.7025181,77.893391
108,26.488323,77.0161436
109,26.0377772,76.3521514
110,26.8931931,76.3375284
111,26.9124336,75.7872709
112,27.6094,75.139911
113,27.1991222,73.740924
114,26.2389469,73.0243094
115,26.9157487,70.9083443
116,25.7531537,71.4180622
117,25.1256823,72.1416132
118,24.8851548,72.8574558
119,25.7710893,73.3234478
120,26.4498954,74.6399163
121,26.1620402,75.7894716
122,25.4305144,75.6499025
123,25.321377,74.586953
